name,calories,protein,carbs,fat
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",0.63,0.0039,0.1501,0.0016
"Pears, raw, red anjou",0.62,0.0033,0.1494,0.0014
"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",0.67,0.0036,0.161,0.0009
"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",0.66,0.0044,0.1579,0.001
Prune puree,2.57,0.021,0.651,0.002
Candied fruit,3.22,0.0034,0.8274,0.0007
"Abiyuch, raw",0.69,0.015,0.176,0.001
"Rowal, raw",1.11,0.023,0.239,0.02
"Guava nectar, canned, with added ascorbic acid",0.63,0.0009,0.1625,0.0006
"Mango nectar, canned",0.51,0.0011,0.1312,0.0006
"Tamarind nectar, canned",0.57,0.0009,0.1473,0.0012
"Pomegranate juice, bottled",0.54,0.0015,0.1313,0.0029
"Nance, canned, syrup, drained",0.95,0.0056,0.2279,0.0128
"Nance, frozen, unsweetened",0.73,0.0066,0.1697,0.0116
"Naranjilla (lulo) pulp, frozen, unsweetened",0.25,0.0044,0.059,0.0022
Horned melon (Kiwano),0.44,0.0178,0.0756,0.0126
Orange Pineapple Juice Blend,0.51,0.0041,0.122,0.0008
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",0.63,0.002,0.1522,0.0018
"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",0.49,0.0068,0.1154,0.0012
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",0.63,0.0042,0.15,0.0
"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",0.53,0.006,0.1253,0.0026
"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",0.46,0.0063,0.109,0.0002
"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",0.56,0.0063,0.1304,0.0033
"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",0.52,0.0044,0.1237,0.003
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",0.48,0.0012,0.1149,0.0017
"Lemon juice from concentrate, bottled, CONCORD",0.24,0.004,0.0537,0.0007
"Lemon juice from concentrate, bottled, REAL LEMON",0.17,0.0047,0.0566,0.0007
"Cranberry sauce, whole, canned, OCEAN SPRAY",1.58,0.0075,0.404,0.0005
"Cranberry sauce, jellied, canned, OCEAN SPRAY",1.6,0.0105,0.4061,0.0004
"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",0.44,0.005,0.1053,0.001
Baobab powder,2.5,0.0369,0.7965,0.0047
"Cherry juice, tart",0.59,0.0031,0.137,0.0054
"Raspberries, puree, seedless",0.41,0.0102,0.0799,0.0087
"Raspberries, puree, with seeds",0.55,0.011,0.1151,0.0097
"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",2.11,0.1822,0.0,0.1479
"Pork, fresh, backfat, raw",8.12,0.0292,0.0,0.8869
"Pork, fresh, belly, raw",5.18,0.0934,0.0,0.5301
"Pork, fresh, separable fat, raw",6.32,0.0925,0.0,0.657
"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",1.82,0.2027,0.0,0.1063
"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",2.09,0.2703,0.0,0.1032
"Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)",1.2,0.2181,0.0,0.0293
"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",1.65,0.2886,0.0,0.0462
"Pork, fresh, loin, whole, separable lean and fat, raw",1.98,0.1974,0.0,0.1258
"Pork, fresh, loin, whole, separable lean and fat, cooked, braised",2.39,0.2723,0.0,0.1362
"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",2.42,0.2732,0.0,0.1392
"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",2.48,0.2709,0.0,0.1465
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",1.94,0.1956,0.0,0.1227
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",2.55,0.2654,0.0,0.1571
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled",2.31,0.2372,0.0,0.1435
"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted",2.54,0.2429,0.0,0.1671
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised",2.42,0.2821,0.0,0.1351
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled",2.09,0.2561,0.0,0.1106
"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted",2.31,0.2701,0.0,0.128
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",1.27,0.2199,0.0,0.0371
"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised",2.61,0.2666,0.0,0.1628
"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, broiled",2.22,0.2442,0.0,0.1304
"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted",2.48,0.2699,0.0,0.1468
"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw",1.36,0.2179,0.0,0.048
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, braised",2.34,0.2881,0.0,0.1231
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, broiled",2.22,0.2696,0.0,0.1182
"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",2.3,0.2664,0.0,0.1287
"Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw",1.29,0.2165,0.0,0.0402
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, braised",1.95,0.31,0.0,0.069
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",1.55,0.2155,0.0,0.0694
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, braised",2.0,0.292,0.0,0.0831
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled",1.96,0.2662,0.0,0.0914
"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted",1.92,0.2645,0.0,0.0882
"Pork, fresh, shoulder, whole, separable lean and fat, raw",2.36,0.1718,0.0,0.1799
"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",2.92,0.2328,0.0,0.2139
"Pork, fresh, shoulder, whole, separable lean only, raw",1.48,0.1955,0.0,0.0714
